%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
are	191 3	stop,lo,a0,l3,b1,s0,S0,w1
the	195 3	stop,lo,a0,l3,b1,s0,S0,w1
prevailing	199 10	alpha,lo,a0,lN,b1,s0,S0,w1
hues	210 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	214 1	$.,*,a0,l0,b0,s0,S1,w1

Although	216 8	alpha,up,a0,lN,b1,s1,S0,w1
in	225 2	stop,lo,a0,l3,b1,s0,S0,w1
the	228 3	stop,lo,a0,l3,b1,s0,S0,w1
general	232 7	alpha,lo,a0,lN,b1,s0,S0,w1
form	240 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	245 2	stop,lo,a0,l3,b1,s0,S0,w1
their	248 5	stop,lo,a0,l5,b1,s0,S0,w1
heads	254 5	alpha,lo,a0,l5,b1,s0,S0,w1
they	260 4	stop,lo,a0,l5,b1,s0,S0,w1
somewhat	265 8	alpha,lo,a0,lN,b1,s0,S0,w1
remind	274 6	alpha,lo,a0,lN,b1,s0,S0,w1
one	281 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	285 2	stop,lo,a0,l3,b1,s0,S0,w1
Starlings	288 9	alpha,up,a0,lN,b1,s0,S0,w1
,	297 1	$,,*,a0,l0,b0,s0,S0,w1
they	299 4	stop,lo,a0,l5,b1,s0,S0,w1
must	304 4	alpha,lo,a0,l5,b1,s0,S0,w1
not	309 3	stop,lo,a0,l3,b1,s0,S0,w1
be	313 2	stop,lo,a0,l3,b1,s0,S0,w1
confounded	316 10	alpha,lo,a0,lN,b1,s0,S0,w1
with	327 4	stop,lo,a0,l5,b1,s0,S0,w1
the	332 3	stop,lo,a0,l3,b1,s0,S0,w1
so-called	336 9	stop,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
"	346 1	$",*,a0,l0,b1,s0,S0,w1
Orioles	347 7	alpha,up,a0,lN,b0,s0,S0,w1
"	354 1	$",*,a0,l0,b0,s0,S0,w1
of	356 2	stop,lo,a0,l3,b1,s0,S0,w1
the	359 3	stop,lo,a0,l3,b1,s0,S0,w1
New	363 3	alpha,up,a0,l3,b1,s0,S0,w1
World	367 5	alpha,up,a0,l5,b1,s0,S0,w1
,	372 1	$,,*,a0,l0,b0,s0,S0,w1
which	374 5	stop,lo,a0,l5,b1,s0,S0,w1
belong	380 6	alpha,lo,a0,lN,b1,s0,S0,w1
to	387 2	stop,lo,a0,l3,b1,s0,S0,w1
the	390 3	stop,lo,a0,l3,b1,s0,S0,w1
family	394 6	alpha,lo,a0,lN,b1,s0,S0,w1
IdcridcE	401 8	alpha,up,a0,lN,b1,s0,S0,w1
or	410 2	stop,lo,a0,l3,b1,s0,S0,w1
Hang-nests	413 10	alpha,up,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
and	424 3	stop,lo,a0,l3,b1,s0,S0,w1
Troupials	428 9	alpha,up,a0,lN,b1,s0,S0,w1
,	437 1	$,,*,a0,l0,b0,s0,S0,w1
a	439 1	stop,lo,a0,l1,b1,s0,S0,w1
group	441 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	447 2	stop,lo,a0,l3,b1,s0,S0,w1
birds	450 5	alpha,lo,a0,l5,b1,s0,S0,w1
linking	456 7	alpha,lo,a0,lN,b1,s0,S0,w1
the	464 3	stop,lo,a0,l3,b1,s0,S0,w1
Finches	468 7	alpha,up,a0,lN,b1,s0,S0,w1
and	476 3	stop,lo,a0,l3,b1,s0,S0,w1
the	480 3	stop,lo,a0,l3,b1,s0,S0,w1
Starlings	484 9	alpha,up,a0,lN,b1,s0,S0,w1
,	493 1	$,,*,a0,l0,b0,s0,S0,w1
and	495 3	stop,lo,a0,l3,b1,s0,S0,w1
feeding	499 7	alpha,lo,a0,lN,b1,s0,S0,w1
largely	507 7	alpha,lo,a0,lN,b1,s0,S0,w1
upon	515 4	alpha,lo,a0,l5,b1,s0,S0,w1
seeds	520 5	alpha,lo,a0,l5,b1,s0,S0,w1
and	526 3	stop,lo,a0,l3,b1,s0,S0,w1
insects	530 7	alpha,lo,a0,lN,b1,s0,S0,w1
.	537 1	$.,*,a0,l0,b0,s0,S1,w1

The	540 3	stop,up,a0,l3,b1,s1,S0,w1
late	544 4	alpha,lo,a0,l5,b1,s0,S0,w1
Henry	549 5	alpha,up,a0,l5,b1,s0,S0,w1
Seebohm	555 7	alpha,up,a0,lN,b1,s0,S0,w1
was	563 3	stop,lo,a0,l3,b1,s0,S0,w1
of	567 2	stop,lo,a0,l3,b1,s0,S0,w1
opinion	570 7	alpha,lo,a0,lN,b1,s0,S0,w1
that	578 4	stop,lo,a0,l5,b1,s0,S0,w1
the	583 3	stop,lo,a0,l3,b1,s0,S0,w1
Orioles	587 7	alpha,up,a0,lN,b1,s0,S0,w1
were	595 4	stop,lo,a0,l5,b1,s0,S0,w1
nearly	600 6	alpha,lo,a0,lN,b1,s0,S0,w1
related	607 7	alpha,lo,a0,lN,b1,s0,S0,w1
to	615 2	stop,lo,a0,l3,b1,s0,S0,w1
the	618 3	stop,lo,a0,l3,b1,s0,S0,w1
Crows	622 5	alpha,up,a0,l5,b1,s0,S1,w1

;	628 1	stop,cap,a0,l5,b1,s1,S0,w1
he	630 2	stop,lo,a0,l3,b1,s0,S0,w1
,	632 1	$,,*,a0,l0,b0,s0,S0,w1
therefore	634 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	643 1	$,,*,a0,l0,b0,s0,S0,w1
placed	645 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	652 3	stop,lo,a0,l3,b1,s0,S0,w1
genus	656 5	alpha,lo,a0,l5,b1,s0,S0,w1
Oriolus	662 7	alpha,up,a0,lN,b1,s0,S0,w1
in	670 2	stop,lo,a0,l3,b1,s0,S0,w1
his	673 3	stop,lo,a0,l3,b1,s0,S0,w1
Subfamily	677 9	alpha,up,a0,lN,b1,s0,S0,w1
Corvince	687 8	alpha,up,a0,lN,b1,s0,S0,w1
,	695 1	$,,*,a0,l0,b0,s0,S0,w1
from	697 4	stop,lo,a0,l5,b1,s0,S0,w1
which	702 5	stop,lo,a0,l5,b1,s0,S0,w1
he	708 2	stop,lo,a0,l3,b1,s0,S0,w1
said	711 4	alpha,lo,a0,l5,b1,s0,S0,w1
that	716 4	stop,lo,a0,l5,b1,s0,S0,w1
they	721 4	stop,lo,a0,l5,b1,s0,S0,w1
chiefly	726 7	alpha,lo,a0,lN,b1,s0,S0,w1
differed	734 8	alpha,lo,a0,lN,b1,s0,S0,w1
in	743 2	stop,lo,a0,l3,b1,s0,S0,w1
their	746 5	stop,lo,a0,l5,b1,s0,S0,w1
exposed	752 7	alpha,lo,a0,lN,b1,s0,S0,w1
nostrils	760 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	768 1	$,,*,a0,l0,b0,s0,S0,w1
although	770 8	alpha,lo,a0,lN,b1,s0,S0,w1
he	779 2	stop,lo,a0,l3,b1,s0,S0,w1
admitted	782 8	alpha,lo,a0,lN,b1,s0,S0,w1
that	791 4	stop,lo,a0,l5,b1,s0,S0,w1
the	796 3	stop,lo,a0,l3,b1,s0,S0,w1
tarsus	800 6	alpha,lo,a0,lN,b1,s0,S0,w1
might	807 5	alpha,lo,a0,l5,b1,s0,S0,w1
perhaps	813 7	alpha,lo,a0,lN,b1,s0,S0,w1
be	821 2	stop,lo,a0,l3,b1,s0,S0,w1
slightly	824 8	alpha,lo,a0,lN,b1,s0,S0,w1
shorter	833 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	840 1	$,,*,a0,l0,b0,s0,S0,w1
and	842 3	stop,lo,a0,l3,b1,s0,S0,w1
the	846 3	stop,lo,a0,l3,b1,s0,S0,w1
prevailing	850 10	alpha,lo,a0,lN,b1,s0,S0,w1
colours	861 7	alpha,lo,a0,lN,b1,s0,S0,w1
different	869 9	alpha,lo,a0,lN,b1,s0,S0,w1
;	879 1	stop,cap,a0,l3,b1,s0,S0,w1
whilst	881 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	888 3	stop,lo,a0,l3,b1,s0,S0,w1
sexes	892 5	alpha,lo,a0,l5,b1,s0,S0,w1
also	898 4	alpha,lo,a0,l5,b1,s0,S0,w1
were	903 4	stop,lo,a0,l5,b1,s0,S0,w1
dissimilar	908 10	alpha,lo,a0,lN,b1,s0,S0,w1
.	918 1	$.,*,a0,l0,b0,s0,S1,w1
*	919 1	$~,*,a0,l0,b0,s0,S0,w1
In	922 2	stop,up,a0,l3,b1,s1,S0,w1
addition	925 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	934 2	stop,lo,a0,l3,b1,s0,S0,w1
the	937 3	stop,lo,a0,l3,b1,s0,S0,w1
above	941 5	stop,lo,a0,l5,b1,s0,S0,w1
distinctive	947 11	alpha,lo,a0,lN,b1,s0,S0,w1
characters	959 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	969 1	$,,*,a0,l0,b0,s0,S0,w1
the	971 3	stop,lo,a0,l3,b1,s0,S0,w1
third	975 5	alpha,lo,a0,l5,b1,s0,S0,w1
primary	981 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	989 2	stop,lo,a0,l3,b1,s0,S0,w1
the	992 3	stop,lo,a0,l3,b1,s0,S0,w1
wing	996 4	alpha,lo,a0,l5,b1,s0,S0,w1
(	1001 1	$(,*,a0,l0,b1,s0,S0,w1
not	1002 3	stop,lo,a0,l3,b0,s0,S0,w1
the	1006 3	stop,lo,a0,l3,b1,s0,S0,w1
fourth	1010 6	alpha,lo,a0,lN,b1,s0,S0,w1
or	1017 2	stop,lo,a0,l3,b1,s0,S0,w1
fifth	1020 5	alpha,lo,a0,l5,b1,s0,S0,w1
)	1025 1	$),*,a0,l0,b0,s0,S0,w1
appears	1027 7	alpha,lo,a0,lN,b1,s0,S0,w1
to	1035 2	stop,lo,a0,l3,b1,s0,S0,w1
be	1038 2	stop,lo,a0,l3,b1,s0,S0,w1
the	1041 3	stop,lo,a0,l3,b1,s0,S0,w1
longest	1045 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	1052 1	$,,*,a0,l0,b0,s0,S0,w1
in	1054 2	stop,lo,a0,l3,b1,s0,S0,w1
the	1057 3	stop,lo,a0,l3,b1,s0,S0,w1
Orioles	1061 7	alpha,up,a0,lN,b1,s0,S0,w1
;	1068 1	$;,*,a0,l0,b0,s0,S0,w1
whilst	1070 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	1077 3	stop,lo,a0,l3,b1,s0,S0,w1
whole	1081 5	alpha,lo,a0,l5,b1,s0,S0,w1
character	1087 9	alpha,lo,a0,lN,b1,s0,S0,w1
of	1097 2	stop,lo,a0,l3,b1,s0,S0,w1
the	1100 3	stop,lo,a0,l3,b1,s0,S0,w1
nest	1104 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	1108 1	$,,*,a0,l0,b0,s0,S0,w1
which	1110 5	stop,lo,a0,l5,b1,s0,S0,w1
Seebohm	1116 7	alpha,up,a0,lN,b1,s0,S0,w1
often	1124 5	alpha,lo,a0,l5,b1,s0,S0,w1
made	1130 4	alpha,lo,a0,l5,b1,s0,S0,w1
much	1135 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	1140 2	stop,lo,a0,l3,b1,s0,S0,w1
iu	1143 2	alpha,lo,a0,l3,b1,s0,S0,w1
his	1146 3	stop,lo,a0,l3,b1,s0,S0,w1
classification	1150 16	alpha,lo,a0,lN,b1,s0,S0,w1
,	1166 1	$,,*,a0,l0,b0,s0,S0,w1
is	1168 2	stop,lo,a0,l3,b1,s0,S0,w1
quite	1171 5	alpha,lo,a0,l5,b1,s0,S0,w1
unlike	1177 6	alpha,lo,a0,lN,b1,s0,S0,w1
that	1184 4	stop,lo,a0,l5,b1,s0,S0,w1
of	1189 2	stop,lo,a0,l3,b1,s0,S0,w1
a	1192 1	stop,lo,a0,l1,b1,s0,S0,w1
Crow	1194 4	alpha,up,a0,l5,b1,s0,S0,w1
;	1199 1	stop,up,a0,l3,b1,s0,S0,w1
being	1201 5	stop,lo,a0,l5,b1,s0,S0,w1
neatly	1207 6	alpha,lo,a0,lN,b1,s0,S0,w1
woven	1214 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	1219 1	$,,*,a0,l0,b0,s0,S0,w1
and	1221 3	stop,lo,a0,l3,b1,s0,S0,w1
slung	1225 5	alpha,lo,a0,l5,b1,s0,S0,w1
like	1231 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	1236 1	stop,lo,a0,l1,b1,s0,S0,w1
hammock	1238 7	alpha,lo,a0,lN,b1,s0,S0,w1
between	1246 7	stop,lo,a0,lN,b1,s0,S0,w1
the	1254 3	stop,lo,a0,l3,b1,s0,S0,w1
forks	1258 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	1264 2	stop,lo,a0,l3,b1,s0,S0,w1
a	1267 1	stop,lo,a0,l1,b1,s0,S0,w1
branch	1269 6	alpha,lo,a0,lN,b1,s0,S0,w1
:	1276 1	$:,*,a0,l0,b1,s1,S0,w1
moreover	1278 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	1286 1	$,,*,a0,l0,b0,s0,S0,w1
whereas	1288 7	alpha,lo,a0,lN,b1,s0,S0,w1
the	1296 3	stop,lo,a0,l3,b1,s0,S0,w1
eggs	1300 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	1305 2	stop,lo,a0,l3,b1,s0,S0,w1
the	1308 3	stop,lo,a0,l3,b1,s0,S0,w1
Crows	1312 5	alpha,up,a0,l5,b1,s0,S0,w1
are	1318 3	stop,lo,a0,l3,b1,s0,S0,w1
usually	1322 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	1330 2	stop,lo,a0,l3,b1,s0,S0,w1
some	1333 4	stop,lo,a0,l5,b1,s0,S0,w1
shade	1338 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	1344 2	stop,lo,a0,l3,b1,s0,S0,w1
green	1347 5	alpha,lo,a0,l5,b1,s0,S0,w1
or	1353 2	stop,lo,a0,l3,b1,s0,S0,w1
blue	1356 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	1360 1	$,,*,a0,l0,b0,s0,S0,w1
heavily	1362 7	alpha,lo,a0,lN,b1,s0,S0,w1
spotted	1370 7	alpha,lo,a0,lN,b1,s0,S0,w1
and	1378 3	stop,lo,a0,l3,b1,s0,S0,w1
speckled	1382 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	1390 1	$,,*,a0,l0,b0,s0,S0,w1
or	1392 2	stop,lo,a0,l3,b1,s0,S0,w1
blotched	1395 8	alpha,lo,a0,lN,b1,s0,S0,w1
and	1404 3	stop,lo,a0,l3,b1,s0,S0,w1
mottled	1408 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	1415 1	$,,*,a0,l0,b0,s0,S0,w1
with	1417 4	stop,lo,a0,l5,b1,s0,S0,w1
various	1422 7	alpha,lo,a0,lN,b1,s0,S0,w1
shades	1430 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	1437 2	stop,lo,a0,l3,b1,s0,S0,w1
olive	1440 5	alpha,lo,a0,l5,b1,s0,S0,w1
or	1446 2	stop,lo,a0,l3,b1,s0,S0,w1
brown	1449 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	1454 1	$,,*,a0,l0,b0,s0,S0,w1
those	1456 5	stop,lo,a0,l5,b1,s0,S0,w1
of	1462 2	stop,lo,a0,l3,b1,s0,S0,w1
the	1465 3	stop,lo,a0,l3,b1,s0,S0,w1
Orioles	1469 7	alpha,up,a0,lN,b1,s0,S0,w1
vary	1477 4	alpha,lo,a0,l5,b1,s0,S0,w1
from	1482 4	stop,lo,a0,l5,b1,s0,S0,w1
white	1487 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	1493 2	stop,lo,a0,l3,b1,s0,S0,w1
salmon-pink	1496 11	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	1507 1	$,,*,a0,l0,b0,s0,S0,w1
clearly	1509 7	alpha,lo,a0,lN,b1,s0,S0,w1
spotted	1517 7	alpha,lo,a0,lN,b1,s0,S0,w1
with	1525 4	stop,lo,a0,l5,b1,s0,S0,w1
blackish-brown	1530 14	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	1544 1	$,,*,a0,l0,b0,s0,S0,w1
and	1546 3	stop,lo,a0,l3,b1,s0,S0,w1
sometimes	1550 11	alpha,lo,a0,lN,b1,s0,S0,w1
with	1562 4	stop,lo,a0,l5,b1,s0,S0,w1
lilacine-greyisli	1567 17	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
shell-markings	1585 14	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
.	1599 1	$.,*,a0,l0,b0,s0,S1,w1

The	1602 3	stop,up,a0,l3,b1,s1,S0,w1
call-notes	1606 10	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
and	1617 3	stop,lo,a0,l3,b1,s0,S0,w1
songs	1621 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	1627 2	stop,lo,a0,l3,b1,s0,S0,w1
the	1630 3	stop,lo,a0,l3,b1,s0,S0,w1
Orioles	1634 7	alpha,up,a0,lN,b1,s0,S0,w1
are	1642 3	stop,lo,a0,l3,b1,s0,S0,w1
bright	1646 6	alpha,lo,a0,lN,b1,s0,S0,w1
and	1653 3	stop,lo,a0,l3,b1,s0,S0,w1
melodious	1657 9	alpha,lo,a0,lN,b1,s0,S0,w1
;	1667 1	stop,cap,a0,l3,b1,s0,S0,w1
but	1669 3	stop,lo,a0,l3,b1,s0,S0,w1
this	1673 4	stop,lo,a0,l5,b1,s0,S0,w1
fact	1678 4	alpha,lo,a0,l5,b1,s0,S0,w1
would	1683 5	alpha,lo,a0,l5,b1,s0,S0,w1
not	1689 3	stop,lo,a0,l3,b1,s0,S0,w1
be	1693 2	stop,lo,a0,l3,b1,s0,S0,w1
a	1696 1	stop,lo,a0,l1,b1,s0,S0,w1
sufficient	1698 10	alpha,lo,a0,lN,b1,s0,S0,w1
reason	1709 6	alpha,lo,a0,lN,b1,s0,S0,w1
for	1716 3	stop,lo,a0,l3,b1,s0,S0,w1
dissociating	1720 12	alpha,lo,a0,lN,b1,s0,S0,w1
them	1733 4	stop,lo,a0,l5,b1,s0,S0,w1
from	1738 4	stop,lo,a0,l5,b1,s0,S0,w1
the	1743 3	stop,lo,a0,l3,b1,s0,S0,w1
Crows	1747 5	alpha,up,a0,l5,b1,s0,S1,w1

;	1753 1	stop,cap,a0,l5,b1,s1,S0,w1
although	1755 8	alpha,lo,a0,lN,b1,s0,S0,w1
our	1764 3	stop,lo,a0,l3,b1,s0,S0,w1
native	1768 6	alpha,lo,a0,lN,b1,s0,S0,w1
species	1775 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	1783 2	stop,lo,a0,l3,b1,s0,S0,w1
Corvidcr	1786 8	alpha,up,a0,lN,b1,s0,S0,w1
do	1795 2	stop,lo,a0,l3,b1,s0,S0,w1
not	1798 3	stop,lo,a0,l3,b1,s0,S0,w1
shine	1802 5	alpha,lo,a0,l5,b1,s0,S0,w1
as	1808 2	stop,lo,a0,l3,b1,s0,S0,w1
whistlers	1811 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	1820 1	$,,*,a0,l0,b0,s0,S0,w1
in	1822 2	stop,lo,a0,l3,b1,s0,S0,w1
their	1825 5	stop,lo,a0,l5,b1,s0,S0,w1
wild	1831 4	alpha,lo,a0,l5,b1,s0,S0,w1
state	1836 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	1841 1	$.,*,a0,l0,b0,s0,S1,w1

I	1843 1	stop,cap,a0,l1,b1,s1,S0,w1
think	1845 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	1850 1	$,,*,a0,l0,b0,s0,S0,w1
however	1852 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	1859 1	$,,*,a0,l0,b0,s0,S0,w1
that	1861 4	stop,lo,a0,l5,b1,s0,S0,w1
Howard	1866 6	alpha,up,a0,lN,b1,s0,S0,w1
Saunders	1873 8	alpha,up,a0,lN,b1,s0,S0,w1
was	1882 3	stop,lo,a0,l3,b1,s0,S0,w1
fully	1886 5	alpha,lo,a0,l5,b1,s0,S0,w1
justified	1892 9	alpha,lo,a0,lN,b1,s0,S0,w1
in	1902 2	stop,lo,a0,l3,b1,s0,S0,w1
adopting	1905 8	alpha,lo,a0,lN,b1,s0,S0,w1
the	1914 3	stop,lo,a0,l3,b1,s0,S0,w1
present	1918 7	alpha,lo,a0,lN,b1,s0,S0,w1
family	1926 6	alpha,lo,a0,lN,b1,s0,S0,w1
for	1933 3	stop,lo,a0,l3,b1,s0,S0,w1
the	1937 3	stop,lo,a0,l3,b1,s0,S0,w1
Orioles	1941 7	alpha,up,a0,lN,b1,s0,S0,w1
.	1948 1	$.,*,a0,l0,b0,s0,S1,w1

Familx-	1951 7	alpha,up,a0,lN,b1,s1,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
ORIOL	1959 5	alpha,cap,a0,l5,b1,s0,S0,w1
ID^E	1965 4	rom,*,a0,l3,b1,s0,S0,w1 $~,*,a0,l0,b0,s0,S0,w0 alpha,cap,a0,l1,b0,s0,S0,w0
.	1969 1	$.,*,a0,l0,b0,s0,S1,w1

The	1972 3	stop,up,a0,l3,b1,s1,S0,w1
Golden	1976 6	alpha,up,a0,lN,b1,s0,S0,w1
Oriole	1983 6	alpha,up,a0,lN,b1,s0,S0,w1
.	1989 1	$.,*,a0,l0,b0,s0,S1,w1

Oriolus	1992 7	alpha,up,a0,lN,b1,s1,S0,w1
ga/bula	2000 7	alpha,lo,a0,l3,b1,s0,S0,w1 $/,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	2007 1	$,,*,a0,l0,b0,s0,S0,w1
LiNN	2009 4	alpha,up,a0,l5,b1,s0,S0,w1
.	2013 1	$.,*,a0,l0,b0,s0,S1,w1

BREEDS	2016 6	alpha,cap,a0,lN,b1,s1,S0,w1
in	2023 2	stop,lo,a0,l3,b1,s0,S0,w1
suitable	2026 8	alpha,lo,a0,lN,b1,s0,S0,w1
localities	2035 10	alpha,lo,a0,lN,b1,s0,S0,w1
throughout	2046 10	alpha,lo,a0,lN,b1,s0,S0,w1
Europe	2057 6	alpha,up,a0,lN,b1,s0,S0,w1
south	2064 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	2070 2	stop,lo,a0,l3,b1,s0,S0,w1
the	2073 3	stop,lo,a0,l3,b1,s0,S0,w1
Baltic	2077 6	alpha,up,a0,lN,b1,s0,S0,w1
and	2084 3	stop,lo,a0,l3,b1,s0,S0,w1
in	2088 2	stop,lo,a0,l3,b1,s0,S0,w1
Algeria	2091 7	alpha,up,a0,lN,b1,s0,S0,w1
;	2099 1	stop,up,a0,l5,b1,s0,S0,w1
passes	2101 6	alpha,lo,a0,lN,b1,s0,S0,w1
through	2108 7	stop,lo,a0,lN,b1,s0,S0,w1
Greece	2116 6	alpha,up,a0,lN,b1,s0,S0,w1
,	2122 1	$,,*,a0,l0,b0,s0,S0,w1
Asia	2124 4	alpha,up,a0,l5,b1,s0,S0,w1
Minor	2129 5	alpha,up,a0,l5,b1,s0,S0,w1
,	2134 1	$,,*,a0,l0,b0,s0,S0,w1
Palestine	2136 9	alpha,up,a0,lN,b1,s0,S0,w1
,	2145 1	$,,*,a0,l0,b0,s0,S0,w1
Egypt	2147 5	alpha,up,a0,l5,b1,s0,S0,w1
,	2152 1	$,,*,a0,l0,b0,s0,S0,w1
and	2154 3	stop,lo,a0,l3,b1,s0,S0,w1
Nubia	2158 5	alpha,up,a0,l5,b1,s0,S0,w1
,	2163 1	$,,*,a0,l0,b0,s0,S0,w1
on	2165 2	stop,lo,a0,l3,b1,s0,S0,w1
migration	2168 9	alpha,lo,a0,lN,b1,s0,S0,w1
;	2178 1	stop,cap,a0,l3,b1,s0,S0,w1
and	2180 3	stop,lo,a0,l3,b1,s0,S0,w1
winters	2184 7	alpha,lo,a0,lN,b1,s0,S0,w1
in	2192 2	stop,lo,a0,l3,b1,s0,S0,w1
North	2195 5	alpha,up,a0,l5,b1,s0,S0,w1
Africa	2201 6	alpha,up,a0,lN,b1,s0,S0,w1
,	2207 1	$,,*,a0,l0,b0,s0,S0,w1
south-eastwards	2209 15	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
to	2225 2	stop,lo,a0,l3,b1,s0,S0,w1
Madagascar	2228 10	alpha,up,a0,lN,b1,s0,S0,w1
,	2238 1	$,,*,a0,l0,b0,s0,S0,w1
Natal	2240 5	alpha,up,a0,l5,b1,s0,S0,w1
